Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
5D,2D,9C,JH,4C,8D,0,0,10H,5C,6D,5H,KS,1,1,AC,6S,JD,QH,7C,0,0,6C,3H,8H,4D,9S,0,0,JC,2S,KC,QC,7S,0,0,4S,9H,7H,QD,3D,0,0
2H,9C,7H,4C,4D,AD,1,0,3H,KH,KS,10S,AC,0,1,KD,8S,AH,5S,JH,0,0,10D,8D,3S,9D,4H,0,0,10C,7S,6S,6H,JS,1,0,6C,JD,5D,AS,QD,0,0
JH,JC,5S,6S,4H,3H,1,1,5D,2D,6C,JS,10D,0,0,8D,2H,9S,QH,KH,0,0,AD,4D,QD,9H,QS,1,0,AC,7H,10C,JD,3C,0,0,3D,7C,AS,2C,AH,1,0
JS,2H,9H,AS,3D,2D,1,0,5D,7D,KC,JH,9S,0,0,6S,3S,KD,5H,7C,0,1,QH,AC,9C,JD,4H,0,0,AH,4C,8H,3H,7H,0,0,AD,QC,8D,5C,6C,0,0
AD,9H,7C,8C,QS,8D,1,1,7S,2H,8S,AS,4D,0,0,KS,JC,2S,10S,4H,0,0,KD,10C,5C,10D,4C,1,0,4S,QC,6C,AC,KH,0,0,6S,9S,QH,2C,8H,0,0
3H,2S,7H,6H,KD,QC,0,0,JS,3S,JD,6S,2D,1,0,7D,KS,5D,9C,AH,0,0,3D,10D,QS,4S,AS,0,0,10C,8D,5C,2C,8S,1,1,10S,8C,7C,5H,6D,0,0
QC,JS,10S,3D,4S,7D,0,0,AS,7C,4D,5C,5H,1,0,8D,10H,QD,7S,6S,0,0,3S,2S,JD,9S,8C,0,0,AD,7H,8H,QH,AH,1,0,9D,2D,9H,QS,JC,1,1
7D,QC,8S,3H,KD,4S,0,0,5S,6C,KC,10H,8D,0,0,AC,9D,2H,JS,JH,1,1,KH,7C,2D,10D,4H,0,0,7S,10C,AH,2C,9C,0,0,5D,8C,QS,3S,7H,0,0
7H,JC,AH,JD,2D,QD,1,0,QH,6S,AS,JH,KH,0,0,KS,KC,4H,KD,7S,0,0,JS,2S,9S,10C,AC,0,0,2C,QC,6D,6H,7C,1,0,3H,3S,6C,QS,10H,1,1
8S,10C,9S,6C,JS,5S,0,0,8D,6H,8C,4H,10D,1,1,6D,2S,KD,5H,JC,0,0,9D,4S,3C,JD,10H,0,0,10S,JH,7C,KC,QD,0,0,5C,9H,AS,QC,3H,0,0
6C,7S,7H,9H,6D,8D,2,1,2C,4D,JD,KC,4S,1,0,9D,5H,JC,7D,9S,1,0,7C,5D,10C,KD,AD,0,0,6S,QC,10S,3C,3D,1,0,8H,3S,9C,AS,QH,0,0
4H,5D,7S,6D,5C,10D,1,0,AD,2D,10S,JD,JS,1,0,4S,5H,3H,QC,6C,0,0,KD,2H,QH,KS,10C,0,1,9C,9S,10H,6S,3C,1,0,2S,KC,JC,2C,4C,1,0
6H,5C,QS,QD,3D,7S,1,0,4C,8S,3H,AC,KS,0,0,6S,4S,10D,7H,3C,0,0,5D,6C,2C,4D,AS,0,0,2D,KC,QC,KH,5H,0,0,2S,9D,AD,9H,JC,1,1
10D,AC,6H,5S,10S,QS,1,1,6C,KS,JS,JD,3S,1,0,5H,AH,10C,JH,7D,0,0,8C,KD,5C,6D,4S,0,0,9S,4H,QC,2D,7H,0,0,2H,AD,KH,9C,QD,0,0
AD,QH,5D,AS,5C,4C,2,0,JD,9H,10D,JS,AC,1,0,9S,10S,6C,8C,KH,0,0,KS,8S,4H,AH,8D,1,0,QS,5H,10H,KC,3S,0,0,6D,7S,8H,6H,QC,1,1
JD,2C,QD,9C,7D,AS,0,0,3S,3C,6H,9S,6D,2,1,3D,10C,5S,8D,QS,0,0,6S,AH,7C,JC,KC,0,0,4C,5D,4S,9H,4H,1,0,2S,QH,8S,4D,QC,1,0
10D,QC,8S,6D,8C,KC,1,1,JH,5H,KD,6S,9C,0,0,3D,10H,8H,2C,6H,0,0,10S,JC,AC,2S,5S,0,0,KH,5C,3S,7H,4C,0,0,3H,9D,JD,5D,QS,0,0
9S,10C,4S,4H,6C,10D,2,0,KH,9C,5H,6H,AS,0,0,JC,8S,AD,8C,7C,1,1,KD,4C,2S,3D,8D,0,0,JS,6S,10H,QD,6D,1,0,7D,9D,3C,QC,AH,0,0
9H,5D,8C,7C,JD,AD,0,0,6C,6D,4H,2C,QD,1,0,9C,7H,10S,JC,AS,0,0,JH,9D,7S,JS,KD,1,1,10D,KH,5C,6S,QH,0,0,3C,QS,6H,5H,2H,0,0
2D,2H,10D,8D,QC,QH,2,0,4C,8H,6S,9S,3C,0,0,10C,6D,7S,JS,AD,0,1,4S,AS,5C,5S,7D,1,0,QD,5H,JH,KS,8C,0,0,JD,2C,4H,AH,9H,0,0
KS,8C,3S,6D,QH,10H,0,0,2H,AH,4D,9H,KH,0,0,4S,6C,3C,10S,2D,0,0,4C,7C,JC,9D,5C,0,1,7D,10D,7S,9C,7H,1,0,QD,8H,5H,3D,JH,0,0
