Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
6H,9H,9C,AS,3H,2S,1,0,10S,4D,10H,10D,7C,1,0,AC,7D,8C,5S,QH,0,0,4C,2D,3D,4S,3S,2,1,6C,QD,JS,QS,KH,1,0,5D,AD,6D,9D,8S,0,0
2H,KC,QH,AC,6C,JS,0,0,QS,4C,5D,7H,9S,0,0,QC,5S,9C,2S,9D,1,0,6D,3S,7D,2C,3C,1,0,7C,8S,10C,KS,AS,0,0,3D,AH,9H,3H,2D,1,1
JS,AD,4H,5C,9H,4C,1,0,5H,6D,2C,JD,QD,0,0,JH,9D,AH,9C,8S,1,1,3S,10H,7S,4D,6H,0,0,10C,6C,5S,5D,3C,1,0,KC,QS,7D,2D,AC,0,0
4C,QD,10S,QS,3S,KH,1,0,AH,9H,AC,6S,QC,1,1,JH,2H,7S,3D,JC,1,0,6D,3H,9D,8D,JD,0,0,KC,10H,QH,9S,5D,0,0,2S,5C,7H,5S,7D,2,0
6S,3H,8H,8C,9H,10H,1,1,6H,10S,AH,4S,10C,1,0,10D,9S,8D,3D,7C,0,0,4C,JH,AC,AS,2H,1,0,KD,5H,2D,JD,4H,0,0,9D,7H,6D,3C,KH,0,0
2S,6H,2C,3C,9D,3S,2,0,JD,7D,10H,KD,5C,0,0,JS,AH,QS,AD,7S,1,0,AS,8D,JC,5D,4D,0,0,10C,6S,2D,8H,10D,1,0,AC,8S,3H,5H,QC,0,1
QH,8S,8H,4S,KC,AH,1,1,6S,JD,10D,10H,8D,1,0,10C,KH,5D,9S,3C,0,0,3H,7H,QC,5C,JH,0,0,AC,KS,AS,QS,KD,1,0,4H,AD,5H,9H,5S,1,0
7C,5D,8H,3S,9H,JH,0,0,10S,JC,2S,6D,3H,0,1,4C,6H,KD,4H,JS,1,0,AS,AH,7D,2D,6S,1,0,5C,4S,QD,3D,5S,1,0,7H,9S,4D,KH,10H,0,0
QC,5H,2H,3D,JD,9C,0,0,JS,10S,8D,AD,6H,0,0,2D,KC,6D,KD,4C,0,0,KH,JH,6C,9D,9H,1,1,7S,4S,2C,8H,10H,0,0,9S,QD,7D,10D,4D,0,0
3C,8H,2S,5H,4C,4S,1,0,3S,10H,4H,6H,5D,0,0,8D,8C,AS,4D,9H,1,0,9S,6C,AD,5C,7S,0,0,8S,KS,6S,3D,6D,1,0,2H,KD,QS,JC,KH,0,1
JH,9H,KC,10S,8D,9D,1,1,KH,AC,7C,4C,8H,0,0,AD,10H,7D,9S,6C,0,0,5S,6D,9C,QH,2C,0,0,5D,10C,10D,QS,JD,1,0,3S,2H,2S,7H,7S,2,0
6C,4C,7S,6D,AD,6S,1,0,10D,JD,9H,2S,4H,0,0,9C,QH,5D,10H,JC,0,0,7H,JH,QS,4S,AC,0,0,QC,9D,QD,2H,KC,1,1,3D,KS,2C,4D,3S,1,0
KH,JH,QC,4D,10C,JS,1,0,5C,8C,KS,9S,3D,0,0,JD,6H,10D,2D,8H,0,0,8D,2H,JC,9C,AS,0,1,9D,QH,3S,4S,AH,0,0,5S,8S,3C,6D,QD,0,0
3H,3S,KC,2H,KD,6S,1,0,5C,10S,5D,9D,6D,1,0,KH,7S,5S,4D,QS,0,0,2D,8S,5H,QD,AH,0,0,AS,10C,9H,2C,2S,1,1,AD,8D,4S,3C,KS,0,0
2H,JS,7H,10C,8D,8S,1,0,5D,KD,10D,AD,6D,0,1,6H,8H,6S,AH,AS,2,0,JC,JD,4H,3H,JH,1,0,7D,3D,KC,8C,4D,0,0,AC,4C,3C,9D,2S,0,0
KS,KC,10S,3H,7H,AC,0,1,9D,10C,4C,8C,QH,0,0,4S,9H,AH,AD,3D,1,0,JS,9S,8S,9C,7S,1,0,2H,5C,8H,JD,QD,0,0,4H,5S,7D,3S,10D,0,0
9C,2C,10D,QS,5S,9H,1,0,8S,3D,KC,JS,JD,1,1,9D,AD,5D,7S,AC,1,0,3H,KS,10C,5H,KD,0,0,8H,9S,7H,JC,4D,0,0,8C,3C,KH,2S,7D,0,0
9D,AC,8H,10H,6D,2S,0,0,KC,QS,4S,QH,8S,1,0,7D,9C,4H,7S,JD,1,0,9H,8C,3S,QD,AS,0,1,JC,5S,9S,2H,3D,0,0,7H,3H,6H,JS,10D,0,0
3C,KD,5C,2C,3D,7S,1,0,9H,AH,2D,8H,AC,1,1,3H,8S,AD,6D,7H,0,0,5D,2S,6S,7D,8C,0,0,10D,AS,QS,4S,5S,0,0,KS,10S,8D,4H,9D,0,0
7H,KD,AS,2H,6D,3H,0,0,JC,5D,8D,7S,KS,0,0,4H,AH,6C,QC,7C,0,1,4S,KC,10H,QS,2S,0,0,3D,9D,5C,9H,2C,1,0,4C,5S,9C,10C,7D,0,0
5S,6C,AH,7C,10D,QD,0,0,6D,7S,JD,AD,8S,0,1,4H,6H,7D,KC,9S,0,0,3D,6S,QC,10H,4C,0,0,JC,2S,3S,2D,8H,1,0,5H,9C,AS,10C,5D,1,0
4S,2S,7C,9C,4D,7H,2,0,4C,3H,9H,AH,KD,0,0,5C,AS,10C,5S,AD,2,1,QS,6H,5H,KH,6C,1,0,8S,9S,5D,KS,3C,0,0,8H,2D,10H,7S,2H,1,0
5S,10S,2C,KC,AH,3H,0,0,6S,10D,AD,7S,10C,1,0,JC,JH,8C,9S,4S,1,0,QC,4H,3C,8H,7C,0,0,AS,QD,QH,6C,JD,1,0,9C,KH,9H,2S,AC,1,1
8S,7H,7D,7C,5D,5H,2,1,10H,6S,AS,3C,KH,0,0,4C,3S,KC,2S,9S,0,0,7S,6C,4S,AD,AC,1,0,2H,QS,KD,6D,JS,0,0,10S,KS,10C,QD,8C,1,0
2H,10S,7D,AC,3D,8H,0,0,2C,5D,6S,3C,KD,0,0,QH,2S,QD,4D,5H,1,0,7H,10H,JD,5S,8S,0,0,7S,9C,9H,4C,QS,1,0,JS,9D,KH,8D,JH,1,1
5D,9S,4S,KS,KC,9C,1,0,10H,8D,8C,5S,3H,1,0,JS,JC,2D,7H,7C,2,1,6S,QS,8S,2S,QD,1,0,JH,2H,KD,6H,3C,0,0,AC,10C,9D,7S,JD,0,0
2D,10D,7S,KC,4D,4H,1,0,QH,7H,KS,6H,JS,0,0,3S,JH,QD,9C,5H,0,0,9S,10C,4S,5S,9D,1,1,AS,7D,2S,3C,KH,0,0,7C,8S,9H,2C,4C,0,0
