Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
QD,9H,10H,8S,6D,JD,0,0,JC,KS,2H,AD,7H,0,0,5D,4D,4C,JH,3C,1,1,5H,2S,KD,5S,7S,1,0,3D,10C,9D,KH,KC,0,0,8D,AH,6C,7C,2D,0,0
3C,5H,9C,KD,10H,KH,0,0,6C,JD,4C,2H,JS,1,1,3H,QS,7H,4D,JC,0,0,3D,9S,AC,QH,5C,0,0,9D,8S,8D,2C,AH,1,0,6H,10C,10D,QC,4H,1,0
8H,2H,AC,6D,AS,7S,1,0,7D,KC,6H,AD,4S,0,0,9H,6C,10H,10C,3D,1,0,4D,2C,7C,5C,5H,1,0,8S,3S,3C,10D,AH,1,0,2S,9C,5D,5S,QD,1,1
KH,6D,4H,KD,9S,5H,0,0,7H,2H,7D,6H,6C,2,0,10S,5D,2S,6S,KS,0,0,AD,9D,QS,QH,JC,1,1,10D,10H,QD,AS,7S,1,0,9H,4D,AH,4S,3D,1,0
4C,5C,8S,2H,KS,8H,1,0,5S,3D,JC,9D,7C,0,0,5D,2S,3S,10C,QC,0,0,2D,9C,6D,5H,QD,0,0,AH,JD,9H,3C,8C,0,0,QH,6C,7S,7H,KD,1,1
2C,QH,4S,2D,10S,6H,1,0,AD,10D,5C,JD,8D,0,1,3C,9S,QD,4H,5H,0,0,10C,JS,3H,AC,7S,0,0,QS,7D,6D,6S,2S,1,0,7C,4D,2H,AS,KD,0,0
5S,QC,8C,QS,8D,4S,2,0,JD,AS,KS,KD,JC,1,0,4C,8S,2C,5H,10S,0,0,9S,JH,3D,8H,7D,0,0,6S,3H,2D,7S,QH,0,1,9C,5C,9H,KC,3C,1,0
KS,3S,6H,6S,6D,10C,1,0,10H,QD,10S,QC,4C,2,0,3C,5D,9C,QH,9S,1,0,KC,JS,AC,7S,AH,1,1,KD,4D,JC,8D,QS,0,0,10D,3H,7H,9D,8H,0,0
9D,3H,9H,2D,4S,AS,1,0,3C,2H,7D,JS,8H,0,0,6S,5D,8D,8S,2C,1,0,5S,JH,QC,7S,QS,1,0,7C,10S,8C,QD,9C,0,0,AD,5C,4H,KS,9S,0,1
QC,4D,8C,3D,5H,KC,0,0,4H,6H,7D,9D,7S,1,0,7C,2D,AD,JD,3C,0,1,QS,2S,QH,4C,9S,1,0,JH,QD,10S,JS,9H,1,0,4S,5S,AS,5D,AH,2,0
3H,6C,3C,KC,9D,KH,1,1,JC,JD,6S,9S,8D,1,0,10C,AC,KD,10H,4H,1,0,AS,QS,3D,5S,8S,0,0,KS,4S,4C,4D,QD,1,0,2C,9C,8H,2S,7C,1,0
3D,3H,7C,JD,9C,JH,2,0,6C,8S,4D,6H,8H,2,1,AC,JS,6D,10C,QH,0,0,5D,KS,2D,AD,9S,0,0,QD,3C,7S,5S,AH,0,0,2S,2C,5C,7D,QS,1,0
8H,10C,9C,9S,5S,10S,2,0,KC,10H,5H,4C,8S,0,0,JS,9D,7C,JH,9H,2,1,6S,KH,AS,2H,QD,0,0,KS,6H,8D,3D,5C,0,0,2D,QH,AD,8C,4S,0,0
4H,AS,KC,9D,5C,9C,1,0,QD,7S,4C,6H,9H,0,0,2S,7C,10C,AH,3H,0,0,3D,3C,QS,4D,QC,2,1,KS,7H,KH,6S,5S,0,0,10D,6D,AD,10H,2H,1,0
9D,9C,7D,2D,10S,JC,1,1,AC,4D,8H,QS,6H,0,0,AH,AS,KS,3C,6C,1,0,10C,3H,QC,KC,2H,0,0,4S,KH,8C,9H,9S,1,0,2S,6S,5S,8S,QD,0,0
4S,2S,QC,10H,7C,8H,0,0,AH,4D,KH,QH,9S,0,1,9C,4H,2C,2H,6S,1,0,6H,5D,3S,10C,KD,0,0,6D,AS,KC,7D,8S,0,0,7S,5C,3C,QD,AC,0,0
7H,8H,AD,8C,3S,10H,1,1,JD,9H,JC,5C,QC,1,0,5H,KD,3D,6C,9C,0,0,9S,6S,KH,KS,QH,0,0,2C,QD,10D,2S,JH,1,0,7C,8D,6D,3C,6H,1,0
