Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
6D,QD,3H,QH,7D,2S,1,0,10D,6S,2H,QC,6C,1,1,8C,AC,3S,2C,5C,0,0,JH,JC,7S,10S,KC,1,0,7H,AH,JS,8S,KD,0,0,4C,7C,8H,3D,QS,0,0
6D,2D,JS,4D,8C,5C,0,0,7H,6C,2H,JC,QS,0,0,QH,9S,7D,9H,KS,1,1,4H,3D,JD,AC,KD,0,0,3C,8D,QD,7C,5S,0,0,2C,5H,10H,2S,6S,1,0
9D,6H,5C,6C,7D,QH,1,0,2H,5S,10C,KC,9H,0,0,KD,JS,9C,4S,7C,0,0,JH,5H,AC,3C,4C,0,0,2D,7S,2C,8S,5D,1,1,8D,QC,AD,7H,10D,0,0
AS,5C,4D,QD,JD,2C,0,1,3D,AD,3H,3C,8D,1,0,9D,KH,6S,2H,QC,0,0,2D,9C,AH,6D,9H,1,0,6H,QH,3S,KS,10D,0,0,4S,JH,6C,8H,4H,1,0
JH,9H,6H,8D,AD,10C,0,0,4C,8S,7D,3D,4D,1,0,QD,6C,KD,9D,5C,0,0,8H,9C,10H,AC,4S,0,1,2H,10D,AS,8C,7S,0,0,QS,KC,2S,3S,JS,0,0
AH,10H,4C,10C,2S,KC,1,1,7S,JC,9S,5D,10D,0,0,6S,QD,3H,2H,9C,0,0,8C,3S,5S,7D,5H,1,0,JD,8H,KH,6D,AS,0,0,3D,QS,KD,AC,10S,0,0
8D,6C,7H,3C,JC,JD,1,0,3D,8H,5S,8S,2D,1,0,2C,9H,5D,5H,4S,1,0,JH,9D,3S,5C,QH,0,1,4H,10H,9C,AH,2H,0,0,6S,QS,4C,AC,8C,0,0
9H,AC,10H,4C,10C,2S,1,0,AD,6H,6C,5H,4D,1,1,KC,7D,4H,8D,KS,0,0,2D,QH,9S,3C,10D,0,0,AH,8C,7C,8S,KD,1,0,9C,3D,AS,JH,5S,0,0
10D,JS,4H,KC,3C,JC,1,0,2S,7S,9C,4D,QD,0,0,3S,KD,2H,9S,7H,0,0,7C,5H,9H,JD,4S,0,0,AH,9D,KS,AC,3H,1,0,10H,3D,JH,QC,10C,1,1
3D,9C,AS,8C,6D,5C,0,0,AH,4D,9S,2H,KC,0,0,6H,6S,JC,5D,4C,1,1,AC,2C,8S,QD,4S,0,0,4H,JS,7D,3S,QS,0,0,10S,8H,5S,9D,7H,0,0
9D,3C,3H,JC,3D,5H,1,0,4H,5D,QC,4C,8D,1,0,8H,AS,KH,4D,6D,0,0,2H,10D,8S,9C,AC,0,1,10C,5S,7C,6C,7S,1,0,7H,6H,KD,QD,AD,0,0
QD,5D,QC,10C,5C,8S,2,1,KC,AS,JD,3S,7S,0,0,2S,7D,8D,10S,9C,0,0,7H,QH,6H,4S,JS,0,0,KH,8H,10D,AH,2C,0,0,9H,JH,3H,KD,AC,0,0
5H,8S,QD,QS,5C,9C,2,0,KS,4H,3S,3D,7C,1,0,JH,6S,4C,2D,3H,0,0,QC,6D,7D,3C,AC,0,0,6C,5S,9H,JD,7S,0,1,4D,AS,2S,7H,9S,0,0
AS,AD,7H,QD,9D,2C,1,0,6D,8D,6H,10H,7C,1,0,QC,6S,3D,AC,3S,1,0,4H,KH,JD,3H,QH,0,1,7S,KD,5H,3C,9H,0,0,10S,AH,9S,6C,4C,0,0
8H,4D,QH,6C,2H,JH,0,0,10S,KC,7D,4H,QS,0,0,8S,7C,9H,AS,6S,0,0,KD,10C,QD,JD,AC,0,0,KS,JC,9S,6D,4S,0,0,3H,3D,QC,5C,5H,2,1
10D,3H,6H,2H,3C,6S,2,0,5S,10C,10S,JH,AS,1,0,2C,4C,7C,8C,8D,1,0,9D,KS,5C,QS,QD,1,1,2S,KD,KC,JC,9H,0,0,AH,6D,7D,KH,3S,0,0
6H,5C,10S,3D,4S,3C,1,0,8D,10D,9H,7S,QD,0,0,AC,4H,8H,8S,9S,1,0,6D,2D,5D,QS,AD,0,0,KD,2H,7D,AH,7H,1,0,2S,4D,8C,AS,KC,0,1
3C,5S,3D,QC,KC,8D,1,0,4D,9H,2C,JH,4S,1,1,6S,4H,8S,5H,QS,0,0,5D,7C,JC,QH,8H,0,0,6H,9C,10S,10H,7S,1,0,KH,3H,JD,10C,7H,0,0
QD,5H,QS,5D,2D,3H,2,0,6H,2S,10C,AD,QH,0,0,8C,3D,5C,5S,7H,1,0,JD,10H,4C,9C,KC,0,0,AH,7D,AC,4H,6C,1,1,KH,4D,2C,10D,QC,0,0
QC,10C,6H,8S,KH,JC,0,0,5S,3D,5H,10D,4S,1,0,7C,6C,4H,2S,JS,0,0,7S,JH,AD,AC,KC,1,0,2C,9C,10S,QD,7H,0,0,9H,JD,5D,9D,8D,1,1
10D,8D,QD,6C,AD,3S,0,1,7H,AS,9D,4H,QH,0,0,AH,5S,2H,5D,KC,1,0,6H,10H,QC,2D,AC,0,0,8S,KS,9H,3C,KD,0,0,KH,JC,5C,JD,7S,1,0
9D,2C,KC,KS,10D,10H,1,1,JD,5S,3H,2H,AS,0,0,QC,7C,2S,4S,5C,0,0,3C,9H,JH,6H,AC,0,0,QD,10C,10S,4H,3D,1,0,8S,4C,6D,8H,7S,1,0
KH,4C,5D,JD,4H,6H,1,0,7H,9D,8H,7C,7D,1,0,10C,10S,8D,KC,AS,1,1,4D,5S,3S,8S,AH,0,0,9H,JH,3C,2D,KS,0,0,10D,QS,5C,QH,4S,1,0
QH,AS,10C,5C,JC,QC,1,1,9C,10H,2C,6S,6C,1,0,8S,7C,8D,9D,6H,1,0,8H,3H,9S,5H,10D,0,0,8C,JH,3S,9H,3C,1,0,5S,2S,KH,KS,AD,0,0
10S,KC,5S,JC,9S,AS,0,0,3H,8D,4H,3C,QD,1,1,7D,6S,8S,9H,2S,0,0,3D,3S,KH,9C,QH,1,0,4D,JH,6D,KS,2C,0,0,6H,5D,7S,4C,10D,0,0
9H,7H,JS,AH,3S,2C,0,0,KS,4H,AS,6H,QS,0,0,QH,5C,JD,6S,JC,1,1,5D,2D,7C,10D,5H,1,0,2H,6C,KC,7D,8H,0,0,8D,5S,KD,AD,10H,0,0
2C,3D,4C,9S,JH,8S,0,0,8H,KC,QC,10D,9H,0,0,JC,QH,5C,JD,QD,2,1,9C,6D,5S,4D,10S,0,0,2H,4S,6S,10C,KH,0,0,8C,6C,7C,10H,3C,0,0
AH,7H,JH,6S,6D,QC,1,0,4H,AC,5H,AD,3H,1,0,7D,QS,KD,10H,3C,0,0,9S,4S,7S,8H,QH,0,0,4D,JC,AS,JD,9H,1,1,9C,2S,5C,2H,3S,1,0
5H,AD,5D,3D,AC,QH,2,1,10H,2H,JD,2C,4C,1,0,4H,8H,QD,QS,6D,1,0,9D,10S,4D,JC,2D,0,0,7C,7S,10D,3H,8C,1,0,8S,KS,10C,4S,JS,0,0
