Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
4H,KH,5D,JH,9C,10C,0,0,KC,8H,JC,JS,6S,1,0,10S,AS,2D,7D,2S,1,1,6H,5S,5C,2H,3H,1,0,QC,4D,3C,9H,2C,0,0,9S,7C,8S,5H,3S,0,0
6S,6C,9H,3S,8S,4C,1,0,6H,KH,5D,9D,QH,0,0,3D,7C,10D,3H,JD,1,1,7S,8D,4S,JH,KS,0,0,QS,KD,AC,AH,5C,1,0,2H,10C,JS,5H,9S,0,0
4H,AH,8S,7H,AS,JD,1,0,7C,5H,5S,9S,5C,1,0,7S,2H,QH,4C,2S,1,1,QS,8C,2C,9C,AC,0,0,6C,KC,3H,3C,6H,2,0,3S,10S,AD,QC,QD,1,0
10S,3H,10D,5H,AD,2C,1,1,9C,QD,4D,JS,4H,1,0,6H,9D,QH,JC,KH,0,0,KS,7C,4S,JH,9S,0,0,7D,4C,8H,10C,8S,1,0,2S,7S,10H,AH,6S,0,0
8S,KD,7D,5S,9H,KS,0,0,QC,5D,4H,QD,2C,1,0,QH,5C,QS,8C,4D,1,0,5H,10D,6S,AD,KH,0,1,7S,3C,7C,8D,4S,1,0,9S,AS,6C,JH,9D,1,0
5C,QC,2D,10D,AS,8S,0,0,4S,10C,QS,JD,4C,1,1,10S,JH,JS,4H,7C,1,0,8H,9D,KC,5D,5S,1,0,3D,6D,3H,KD,6C,2,0,QD,3S,QH,10H,9S,1,0
6C,7H,AD,5S,2S,KH,0,0,3S,9C,KC,2D,9H,1,0,QD,JD,10H,6D,8C,0,0,JS,6S,6H,JH,3D,2,1,5C,2C,4C,9D,10D,0,0,2H,8S,AS,AH,10C,1,0
6S,5H,8C,10S,4H,7S,0,0,10H,9D,3S,5S,JC,0,0,QS,7C,KS,JH,6H,0,1,9C,KH,AS,10D,AH,1,0,5C,2C,QC,8D,6C,0,0,10C,4S,QD,JS,2D,0,0
5S,KS,QS,AH,9H,JD,0,0,8D,4H,4C,2H,JS,1,1,AS,6S,3S,AC,9S,1,0,4D,AD,8H,KH,2D,0,0,3D,10S,10C,7S,KC,1,0,6D,2S,QH,5D,2C,1,0
7S,6C,JS,AC,KH,3H,0,0,3D,QH,8D,5C,9S,0,1,6S,10S,QS,9D,4C,0,0,JD,5D,2D,10D,KS,0,0,QD,3S,10H,7D,QC,1,0,2S,3C,6D,4S,KD,0,0
