Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
KC,7H,6D,QD,4H,JS,0,0,3D,9S,10H,8S,2D,0,0,KH,AC,QS,2C,10C,0,0,QC,2H,3C,7C,8H,0,0,8D,6S,10D,JD,AH,0,0,4D,5C,6H,7S,5D,1,1
8C,5S,QH,10H,JH,3D,0,1,2H,9H,6D,QS,10D,0,0,7D,QC,JS,KH,AC,0,0,JC,3C,4C,2D,JD,1,0,QD,6C,2C,3H,4S,0,0,AD,AS,4H,KS,9D,1,0
10D,9D,7S,JS,4H,QH,0,0,AS,QD,8C,4S,6S,0,0,2S,2H,4D,6C,10S,1,1,7H,5S,KH,5H,5D,1,0,3C,9S,AH,JD,KD,0,0,6H,QS,7D,JH,JC,1,0
KS,3C,8C,4H,AD,2S,0,0,7D,6C,5C,3S,JH,0,0,JD,5H,9S,6S,KD,0,0,10S,3H,4S,9D,QD,0,0,9H,AH,3D,2C,QC,0,0,8S,5S,8H,6D,KC,1,1
2S,QD,10S,3H,3C,KC,1,1,8C,9S,9C,2D,QH,1,0,AC,2C,AS,5S,6H,1,0,4H,7D,6D,8H,KS,0,0,5C,3D,JC,JS,AH,1,0,4C,9D,5D,7S,8D,0,0
9D,AH,9C,8H,5C,8D,2,0,JS,KH,2C,5H,KD,0,0,8C,4S,10H,AD,4H,1,0,6C,3H,9S,KS,6D,1,1,2H,7H,2S,AC,AS,2,0,QC,QH,6H,JD,7S,1,0
10H,AD,AH,7C,10S,2D,1,0,6H,8D,KS,JH,3H,0,1,5C,6S,3S,KD,8C,0,0,5D,7D,JS,4C,JC,1,0,JD,QC,8S,KH,4S,0,0,5H,4H,2H,6D,3C,0,0
8D,JD,3D,KS,10H,4C,0,0,6H,9H,7C,8S,9D,1,0,5H,5D,2C,3C,7S,1,0,QC,JC,3H,5S,6C,0,1,4S,5C,9S,AH,AC,1,0,KC,10S,7D,10C,QS,1,0
JS,9S,AC,5C,7H,8H,0,1,5H,9H,QS,6H,AD,0,0,2S,6C,KS,3D,3S,1,0,QH,QD,4H,4D,4C,2,0,AS,8D,5D,7C,10S,0,0,KC,4S,10D,2H,7D,0,0
3C,KD,10D,6C,7H,4H,0,0,QC,AH,5D,5C,6H,1,1,QD,9D,2C,2S,JC,1,0,4D,7D,9S,8S,5H,0,0,3H,QH,4S,7S,8D,0,0,3S,8H,JS,KH,KS,0,0
AC,QD,JS,7H,6S,8S,0,0,10D,KD,7S,AS,2S,0,1,KH,JD,8D,AD,5D,0,0,3C,3S,9S,AH,4D,1,0,9H,6D,QC,3D,9C,1,0,5C,7D,7C,8H,KC,1,0
7S,2C,4C,3H,3S,3D,1,1,5C,9D,KS,4S,8D,0,0,QD,3C,KD,QH,5H,1,0,10D,JD,6H,KC,JC,1,0,6D,9S,AH,9C,AC,2,0,8H,2S,10S,10H,6S,1,0
QC,KH,9H,2S,9D,2H,2,0,5S,JD,7H,AC,10C,0,0,QH,8D,7S,9S,6S,0,0,QS,7C,6C,3H,AH,0,1,4D,3S,9C,5C,5D,1,0,4C,JC,3D,8C,7D,0,0
9S,6H,AD,6D,10S,AS,2,0,KH,2C,3C,KS,6C,0,0,5H,QH,QD,4D,5S,2,0,8D,AC,7S,2D,JC,0,0,9C,KD,4S,5C,4H,1,0,2S,JS,JH,10D,AH,1,1
KH,QD,3D,8H,AH,2H,0,0,6H,2S,8S,JC,QC,0,0,10C,AD,7D,8D,9C,0,0,QS,10S,3C,JH,2D,0,0,AS,JD,4D,6S,9D,0,0,3S,6D,QH,3H,7C,1,1
4H,4C,3H,7C,7H,7S,2,1,KS,QC,QS,6S,JC,1,0,5D,8S,7D,AS,5H,1,0,JD,3D,JH,AD,9C,1,0,9H,5S,8D,6C,JS,0,0,4D,10H,QH,8H,KD,0,0
2S,JC,3D,QC,6S,QS,1,0,9S,8C,JD,4D,4C,1,0,5S,8S,8H,5D,KC,2,0,10D,KD,KH,AH,9D,0,1,6H,5C,7H,2C,AS,0,0,2D,3C,10H,5H,3S,1,0
9C,6C,7C,5H,AD,5C,1,0,JS,8D,10C,8H,10S,2,0,8C,4H,10H,7S,3S,0,0,2S,2H,KD,4C,AH,1,0,6D,QC,KC,KS,6H,1,1,5S,KH,3D,JD,JC,1,0
3S,10H,AH,4D,7D,6S,0,0,10D,5H,JS,QS,5D,1,0,6H,2H,7S,7H,JH,1,0,QD,5C,3C,KH,QC,1,0,9C,AS,9S,4S,8D,1,1,2C,AC,2D,8H,6C,1,0
4D,2D,3S,7C,5C,6C,0,0,6D,QS,JH,2S,6S,1,0,QD,10C,8D,2C,10H,1,0,4S,2H,10S,AC,KH,0,1,AD,9C,QH,KD,QC,1,0,8S,3H,AS,7D,7H,1,0
QS,10D,10C,QD,5S,9C,2,0,QH,7D,KD,8C,6D,0,0,5D,3S,10H,6H,3H,1,0,JC,4H,AD,4C,7H,1,0,2H,9D,8S,4S,AS,0,1,9H,10S,2C,6C,2S,1,0
8D,3H,7C,2H,3S,9S,1,0,7S,KH,4C,4H,5H,1,0,5S,6H,7H,2S,AC,0,0,2C,KD,QD,8H,AD,0,0,8C,9D,10S,QH,QC,1,0,6D,9C,QS,9H,8S,1,1
JD,3C,7D,8D,10D,2D,0,0,6D,7H,7S,4H,5S,1,0,JS,4C,7C,9H,KD,0,0,9D,2S,5D,4D,2C,1,0,10H,KH,2H,6C,10S,1,1,9S,3D,8C,6H,AD,0,0
KC,6H,7S,AH,QC,2S,0,0,JC,8C,2C,10H,7C,0,1,JS,2D,AD,QS,7D,0,0,6S,AC,JH,QH,3S,0,0,QD,4C,2H,9H,3C,0,0,3H,5C,9C,4H,4S,1,0
4S,AS,9H,JH,KH,3S,0,0,AH,7S,4D,8C,10D,0,0,7H,6C,3D,9C,7D,1,0,5D,2D,KD,JD,10H,0,1,4H,2H,6D,6H,KC,1,0,5H,9D,8S,4C,10S,0,0
KS,2D,JC,AC,9H,4D,0,0,8D,9D,3S,6C,5D,0,0,QD,QC,7S,7C,3D,2,1,2H,JS,QH,KH,10H,0,0,JD,3C,8S,AD,7H,0,0,10S,AS,6S,QS,3H,0,0
QH,AD,7H,QS,KH,5H,1,0,AH,8C,8D,4S,JH,1,0,2C,10H,QD,9D,8H,0,0,3S,2S,4D,10C,6C,0,0,10D,7C,KD,5S,5C,1,1,9C,5D,7S,4H,2H,0,0
5S,4D,3H,QH,QC,4H,2,0,7C,9C,AS,3S,2C,0,0,3D,10D,AH,KD,7H,0,0,5H,JS,QD,KS,5D,1,1,8C,2S,JH,2D,10S,1,0,8H,JC,QS,6D,6H,1,0
10C,6S,JC,5H,2D,KD,0,0,7C,4S,5S,8D,8H,1,1,6H,2S,JS,JH,3C,1,0,QD,3H,AC,KH,4D,0,0,7D,AD,3S,AS,KC,1,0,2H,10S,6D,9C,3D,0,0
KH,JC,8C,9H,2H,QD,0,0,8H,4D,AD,3H,KD,0,0,3D,2D,JH,5S,3C,1,0,6C,4H,2C,8D,9S,0,0,QH,KC,6H,AS,JD,0,0,JS,AH,KS,5C,AC,1,1
3S,QH,QS,4D,2S,QC,1,0,2C,5S,4H,7H,10D,0,0,JD,4S,AH,JS,AD,2,0,KS,3D,6S,3C,9D,1,0,7C,8D,KD,5D,2D,0,0,AC,7S,7D,5C,KH,1,1
QD,7S,7C,AD,5S,2C,1,0,QS,10H,3H,6S,8D,0,1,6H,JD,10S,KC,4D,0,0,7D,AC,7H,5D,KS,1,0,3S,9H,8H,KH,4S,0,0,6D,10C,KD,4C,3C,0,0
KC,5D,7D,KS,10D,4C,0,0,JC,6D,3D,6H,8C,1,0,4D,AS,2D,3H,6S,0,0,QS,10C,9D,3S,JH,0,1,8S,AC,7H,2S,AH,1,0,5C,4H,AD,9S,KH,0,0
10S,8H,6S,4S,QH,KD,0,0,3C,QC,9H,6D,QD,1,0,QS,2D,KS,AH,AS,1,0,AD,4C,3S,KC,10H,0,0,AC,KH,4H,8C,10C,0,0,7D,8S,8D,7H,2H,2,1
JH,3D,4C,10C,KS,6H,0,0,3H,8S,9H,4H,JD,0,1,9D,AC,QH,JS,6D,0,0,10D,AS,7C,AD,2D,1,0,8C,5C,8D,2C,AH,1,0,KH,10H,6C,KD,3C,0,0
5D,9H,7S,JC,8D,8S,1,0,6H,AS,6S,JS,4S,1,0,5H,KC,10C,KH,6C,0,1,AC,2S,QD,6D,2H,1,0,9D,3S,QS,AD,KS,0,0,10S,9C,QH,10D,3D,1,0
6D,10C,9D,KS,7C,7H,1,0,4H,KH,2S,QD,5C,0,0,AD,2H,6S,4C,2D,1,0,3S,9S,7S,AS,4S,0,0,8H,3D,8S,QH,5D,1,1,QC,3C,JD,JS,AH,1,0
10H,QD,QC,5D,7C,2D,1,0,4H,9S,8S,2H,KS,0,1,KD,9D,5S,7D,QS,0,0,4C,JS,AH,8C,KH,0,0,JC,6H,10S,9C,5H,0,0,8D,AC,6D,AS,5C,1,0
3S,5H,2C,2D,KS,5C,2,1,6C,10C,9H,JS,7H,0,0,10H,2S,8C,9C,QC,0,0,8S,6S,4H,5S,8D,1,0,AC,AH,5D,6D,6H,2,0,2H,KD,3D,3H,AS,1,0
JS,8S,5S,3C,6D,9S,0,0,JC,4D,QD,5H,4H,1,0,2C,2S,JD,5D,10S,1,0,9H,9D,8H,KS,3H,1,1,8C,KC,AC,7D,10H,0,0,JH,AD,KH,6S,2H,0,0
3S,8H,2H,QS,JD,KD,0,0,6D,5D,4S,10S,4D,1,0,9C,4H,KH,3C,JS,0,0,2S,2D,KS,AH,10C,1,0,AS,QH,5C,AC,7C,1,1,7D,3H,6C,9D,5S,0,0
KS,4C,KD,3C,4D,4H,1,1,2D,10S,10C,JD,3H,1,0,8D,2H,6C,7S,7D,1,0,5D,8H,5C,3D,JC,1,0,JH,9H,AC,QC,AS,1,0,6D,5H,7C,9C,10H,0,0
2C,AH,JD,7C,QS,KC,0,0,7H,4C,6C,9H,10S,0,0,JS,9C,QD,2D,QH,1,1,7D,AC,KS,4H,QC,0,0,4D,3S,8D,3D,6S,1,0,AS,5H,2S,5C,10C,1,0
8S,10S,4C,6C,5H,6S,1,0,10H,QD,JS,AS,5S,0,0,5C,7C,3S,9H,2C,0,0,7D,JD,JH,8D,2D,1,0,6H,2S,KS,6D,KC,1,1,3D,2H,3H,7H,KH,1,0
KH,8S,QS,4S,KC,10D,0,1,QD,KD,7D,2D,9H,0,0,10H,8H,4D,2C,5D,0,0,AC,10C,4H,AD,QH,1,0,3D,10S,JH,6C,4C,0,0,7H,AH,7S,8D,2S,1,0
JH,AC,KS,AS,4H,QH,1,0,7S,10C,2D,8C,KC,0,0,AH,5C,9D,7H,9C,1,0,4S,4C,5H,3S,JC,1,0,2H,8H,10H,2C,6D,1,1,7D,7C,5S,9S,AD,1,0
2C,10D,KS,QH,5D,6H,0,0,4C,AD,8S,KH,KC,0,0,10S,2H,5C,8C,4H,0,0,JD,6D,9D,KD,3H,0,1,9C,AC,8H,5S,5H,1,0,7H,3C,JC,2S,AS,0,0
6H,QD,QC,5C,4S,3D,1,0,10D,9C,6S,7C,7H,1,0,QH,5S,JC,10C,6C,0,0,8D,JH,AS,JD,10S,1,0,8H,KC,2H,5D,2C,1,1,KD,QS,4D,7S,2D,0,0
2D,3S,2H,3C,JH,9H,2,1,6H,JC,8H,3D,QS,0,0,QD,7C,KD,JS,AD,0,0,7D,10S,KS,5S,KH,0,0,QH,8S,8C,3H,10H,1,0,AS,5H,5C,6D,6C,2,0
6S,7D,5C,QD,10D,JH,0,0,3S,QH,KD,8C,AC,0,0,2C,9D,10C,7S,9S,1,1,JD,9C,4H,2S,8S,0,0,AD,4S,3D,10H,QC,0,0,6D,KS,10S,KH,7H,0,0
9S,QD,9D,3C,KC,10D,1,0,JS,4H,3D,7C,QS,0,0,6D,3H,10C,2D,6H,1,0,10S,8C,2H,AH,QH,0,1,6C,KS,8D,5D,7H,0,0,KH,6S,8H,AS,AC,1,0
4S,7C,QH,AH,6S,8H,0,0,3S,6D,JC,4D,2S,0,0,KS,9D,3C,AS,7H,0,0,8S,9C,AC,KD,7S,0,0,2D,3D,4C,10S,7D,0,0,5D,5H,10C,9H,QS,1,1
JH,10D,4S,3C,4D,KC,1,0,9S,9C,6S,7C,5S,1,0,AH,5C,JC,8S,9H,0,0,7S,7D,8D,10C,JD,1,1,2H,6H,QD,3S,7H,0,0,6C,4C,6D,10S,AD,1,0
7C,JD,5C,QS,3C,QD,1,0,8H,9H,AS,6S,10D,0,1,8D,KS,9D,8C,JH,1,0,5D,4H,8S,2C,6D,0,0,KD,3S,4C,AD,10S,0,0,KC,3H,10H,JC,2D,0,0
5C,4S,QS,QC,8D,QH,1,1,3C,9S,2D,AS,4H,0,0,9D,JC,6H,JD,8S,1,0,AD,KH,7D,2S,8C,0,0,9H,2C,6D,AH,10C,0,0,9C,5H,6C,10D,5D,1,0
3S,5D,2D,6D,5H,9D,1,0,KH,9C,10H,10S,10D,1,0,4S,AS,2C,9H,5C,0,0,QH,3H,7S,JS,QD,1,1,6C,KD,6H,5S,8C,1,0,4D,4H,KS,QS,7D,1,0
4S,3H,JS,5C,AH,6S,0,0,2S,6C,AC,AD,KD,1,0,8D,6H,10H,8H,JC,1,0,KH,9S,9D,3D,3C,2,0,4C,5S,KS,8C,8S,1,1,QS,JH,6D,QC,KC,1,0
2S,7S,8S,QS,3D,7C,1,0,9H,6C,AH,6D,JC,1,0,JH,AS,QC,5D,QH,1,1,KD,AC,6S,8D,5C,0,0,8H,7D,2D,10C,3S,0,0,7H,9C,9D,10H,JD,1,0
10S,6H,AD,7D,10H,5H,1,0,3H,8S,2H,4S,8C,1,0,JS,2D,JH,KD,10C,1,0,JC,9C,QD,9S,7H,1,1,2S,QH,7S,AC,3C,0,0,6D,5C,3D,JD,4D,0,0
4S,6C,KH,KS,2D,JD,0,0,AS,10H,QC,3C,2S,0,0,9S,AC,9D,KD,7H,1,0,JH,4C,2H,4H,3S,1,0,8D,7D,3D,5D,5H,1,1,8C,7C,3H,JS,6H,0,0
4S,JD,4H,3D,QC,7S,1,0,5C,KH,6H,8D,10D,0,0,2S,2D,6C,2C,7D,1,0,7H,10C,9D,JC,QS,0,0,5D,JH,10H,KC,QD,0,1,AH,4C,10S,7C,9C,0,0
KS,10D,AH,4D,2H,JS,0,0,3H,9S,QS,3C,KD,1,0,2C,9D,5H,QD,2S,1,1,KH,7D,9H,4H,7C,1,0,5D,JD,KC,QH,6D,0,0,7S,8H,4S,8C,6H,1,0
AD,5C,8H,JS,QC,7S,0,0,9C,6C,8C,10S,5H,0,0,6D,JD,9H,5S,KC,0,0,3S,5D,10H,JC,6S,0,0,KD,QH,4H,6H,AH,0,1,9S,3C,10D,8D,10C,1,0
2H,4H,JH,4D,KH,2C,2,0,8D,AD,3S,8H,8S,1,1,QD,10H,7S,QH,AC,1,0,7D,6C,9D,9H,3H,1,0,10D,AH,9C,2D,JS,0,0,6D,KC,6S,10C,5S,1,0
4S,5D,2D,KS,KD,6S,0,0,8C,QC,8D,JD,3D,1,0,JH,KH,7S,5H,7H,1,0,7D,KC,3S,9C,5C,0,0,AD,4H,7C,8H,10C,0,0,3C,JS,6H,6D,2S,1,1
4D,10C,6D,2D,6H,QH,1,0,9H,3H,4H,3D,4C,2,1,KH,5C,JD,10H,6C,0,0,AC,JC,3S,5S,2H,0,0,9S,3C,8D,QC,8S,1,0,10S,QS,9D,9C,7C,1,0
2D,6C,3H,JH,8S,4C,0,0,QS,7H,QH,2H,7C,2,0,8H,3C,10C,8D,KH,1,1,5H,4D,5D,10H,KS,1,0,10S,4S,QD,4H,2S,1,0,7D,JC,KD,8C,6D,0,0
KH,2C,3S,4S,QD,5D,0,0,JD,QH,6D,8D,4D,0,0,KS,9H,7S,4H,JC,0,0,9S,3C,10H,7D,AH,0,1,AD,8H,3H,JS,10C,0,0,5H,5C,7H,9C,QS,1,0
QS,5D,10H,5C,KH,2H,1,0,AH,QD,10D,8H,3D,0,0,3S,7C,JH,KS,3C,1,0,7D,4H,10C,9S,QH,0,0,5H,9D,9C,JC,8C,1,0,JS,2S,10S,KC,8D,0,1
QH,6S,9S,AS,AH,3S,1,0,QC,8D,10H,6C,5D,0,0,2D,KH,6H,5S,6D,1,0,7D,3D,7C,10C,AC,1,0,8H,10D,KS,2C,2H,1,0,9D,5H,3H,7S,9C,1,1
5S,QS,10H,8H,KS,2H,0,0,6S,9S,10D,AH,9H,1,1,JC,7C,6D,4H,5C,0,0,3D,2C,5H,4S,3S,1,0,KC,4C,10S,JH,AD,0,0,9D,4D,10C,7D,7H,1,0
3D,7D,10S,4H,10C,AS,1,0,JD,2S,6C,2C,KD,1,0,5D,7H,6S,5S,3H,1,0,KC,9S,5C,QD,9C,1,0,AC,JH,KS,AH,QH,1,1,2D,8S,JS,AD,3S,0,0
7H,AS,9D,8H,QS,3C,0,0,6D,4C,KC,2D,7S,0,1,5C,JH,JD,2S,4H,1,0,KD,10D,6H,QH,8D,0,0,8S,8C,6S,QD,5S,1,0,AH,10H,7C,QC,AC,1,0
7D,10C,7C,QD,AS,4H,1,0,2C,3D,AH,JC,JD,1,1,QS,2H,6C,5D,10S,0,0,QC,6D,8H,5S,KD,0,0,2S,KS,8C,4C,8S,1,0,9S,5C,KC,JH,10D,0,0
3C,2D,QS,9H,8D,4C,0,0,7D,5H,7H,6C,KC,1,1,4H,AC,9C,6H,10C,0,0,QH,2S,QC,KH,5C,1,0,10H,2H,2C,7S,6D,1,0,AD,3H,3S,5S,10D,1,0
KD,JD,4D,7D,6C,3H,0,0,AD,9H,KS,5D,6S,0,0,AC,KH,8C,8D,2C,1,0,6D,8S,QH,8H,5C,1,0,4H,6H,7S,7C,3D,1,0,5H,3S,QS,10D,10S,1,1
AS,3H,6C,8D,QH,AC,1,1,KH,KS,AD,AH,9C,1,0,5S,2H,3S,7H,2D,1,0,9D,2S,4C,JC,9S,1,0,10S,6H,3C,6D,JD,1,0,7D,8H,5H,10C,JS,0,0
9H,5D,4D,2C,4C,KS,1,0,QS,JH,10S,KD,6C,0,0,QH,KC,9S,AS,AH,1,0,AC,8C,9C,2H,3D,0,0,QD,2D,9D,7S,6H,0,0,7C,JS,10C,7D,8D,1,1
4D,2C,QC,7C,JH,3C,0,0,10C,8C,KD,6H,6D,1,0,JS,2D,3S,7S,KC,0,0,6S,QD,10D,10S,7D,1,0,9S,3H,8D,3D,JD,1,1,KS,AH,8H,9H,QS,0,0
2H,10H,4D,3C,2S,QC,1,0,5D,3H,9H,4S,7H,0,0,AC,4H,6S,KD,KH,0,0,10C,8S,3S,QD,6D,0,0,JD,5C,KS,2C,10S,0,1,4C,6C,9C,JC,3D,0,0
KD,3H,3S,4C,8S,QD,1,0,2H,7H,8H,9D,10S,0,0,10C,4D,KS,9S,5S,0,0,7S,7C,KC,6H,AC,1,0,JD,9H,KH,10H,9C,1,1,8C,3C,QC,7D,5D,0,0
5C,JD,7D,7H,KS,8H,1,1,3D,3H,QC,6H,6C,2,0,9D,AH,4S,2C,2D,1,0,QH,9H,5S,10D,9S,1,0,KC,JS,5H,QS,8C,0,0,6S,QD,7C,AS,KH,0,0
7H,KC,6S,KH,4H,AH,0,0,4S,10H,JH,8D,2S,0,0,8H,3S,9S,QC,10C,0,1,4C,9D,QH,7S,3D,0,0,9H,AD,7C,JD,KD,0,0,4D,2C,5S,6H,AC,0,0
