Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
4H,6S,9S,2C,AC,KH,0,0,AS,AD,7H,5D,3S,1,0,9H,AH,2H,JD,2S,1,1,3D,4D,6H,8S,6D,1,0,10S,QH,6C,5H,10H,1,0,3C,8H,10C,7C,7D,1,0
JH,AH,6H,8D,AC,4C,1,0,KH,JS,10S,7H,KC,0,0,AS,8S,10H,10D,5C,1,0,6C,9H,3H,6D,QC,1,1,9S,7S,9C,QD,4D,1,0,3D,9D,8H,10C,2H,0,0
AD,JH,KS,4C,AS,JS,2,1,3C,9S,QD,8D,2H,0,0,JD,8S,AC,QC,KH,0,0,5H,7S,4H,QH,6S,0,0,6C,7C,8H,7D,9H,1,0,JC,5D,5C,6D,7H,1,0
10C,10D,JC,7H,2S,10S,1,0,AS,6C,JD,JS,3H,1,0,7C,AC,KH,5S,6D,0,0,6H,AD,4D,8C,8H,1,1,8D,10H,9C,7S,KC,0,0,QC,QS,AH,5H,JH,1,0
QC,2S,7C,5C,3D,8D,0,0,8H,10S,4D,JD,QS,0,0,10D,QD,JC,4C,3C,0,0,KD,7D,9S,AS,4H,0,0,7H,KS,9H,8C,2D,0,1,AH,QH,5S,10C,KC,0,0
2H,9D,8H,QC,10C,KD,0,0,8S,JC,JD,7S,7D,2,1,6H,5S,AC,4C,2S,0,0,QD,AD,2C,2D,8D,1,0,5C,3D,JH,AH,3C,1,0,3S,10H,5H,3H,5D,2,0
4D,7H,6S,QD,4S,7D,2,1,2C,KH,2S,10S,7S,1,0,KS,JD,QH,6C,JS,1,0,4C,9H,2D,JH,10D,0,0,KD,JC,5C,10C,5D,1,0,10H,4H,8D,AH,3D,0,0
3D,10S,3C,10H,KD,3S,2,0,4H,9D,8D,9S,10C,1,0,AS,7C,KC,7H,QD,1,1,KS,JC,JH,5S,JS,1,0,4D,QC,6S,JD,5C,0,0,2C,8S,5D,2H,7S,1,0
AH,2H,5D,AS,5S,JC,2,1,JS,8D,5H,9D,9S,1,0,AD,5C,10D,QD,4C,0,0,6D,KS,7D,2C,AC,0,0,QH,3C,7H,10C,4S,0,0,KD,QC,8S,7S,2D,0,0
6S,7D,5S,AD,KS,5H,1,0,6C,10H,JD,8S,2S,0,0,3H,6H,JC,8H,KH,0,0,8D,2D,AS,4C,4D,1,0,4S,4H,2C,7C,QH,1,0,5C,3C,QC,KC,QS,1,1
6C,5D,QD,9H,10D,4H,0,0,2S,KD,7H,3C,JS,0,0,4S,4C,8C,KS,3H,1,0,5H,5C,6D,6H,QH,2,1,7S,8S,AS,3D,3S,1,0,10C,9C,6S,7C,JH,0,0
2S,KD,4D,7C,JD,5S,0,0,KH,5H,QS,3S,3H,1,0,JS,KC,AH,10C,10S,1,0,QH,3D,AD,KS,2D,0,0,6S,JH,QD,9H,8C,0,0,2H,9C,AC,2C,AS,2,1
9S,10S,5C,3S,8S,KS,0,0,AD,4H,2H,AS,8C,1,0,JH,5H,3C,9H,KC,0,0,2C,8H,7H,9D,7D,1,0,2S,6C,7C,7S,KD,1,0,QC,6D,4C,6H,10H,1,1
9D,JC,2D,3S,9S,KH,1,0,QS,2H,9C,3C,6C,0,0,9H,2C,KC,7S,KS,0,0,AC,AS,4S,7D,8C,1,0,3D,6H,10H,6S,KD,1,0,5D,5S,10C,7H,8S,1,1
5H,5D,7C,JH,KS,JC,2,0,6D,2H,3C,7S,KC,0,0,QC,8D,JD,QS,2D,1,1,JS,8H,4H,AC,4C,1,0,AS,AH,6H,9D,6S,2,0,6C,7D,9C,4S,10S,0,0
QC,6D,8S,AH,7D,2S,0,1,AD,2H,5S,AS,3D,1,0,9H,8D,6S,4C,KD,0,0,10H,KC,5D,QD,9C,0,0,JS,3S,4H,JC,KH,1,0,5C,8H,5H,9D,6H,1,0
2D,3H,8S,7S,5S,7H,1,0,AH,QH,6H,AS,10H,1,0,JC,4S,6S,6C,4D,2,1,KH,KC,5C,QS,8H,0,0,2S,4H,9D,AC,8C,0,0,6D,QC,KS,JH,10D,0,0
6C,6H,10C,JC,8C,JS,2,1,10S,KC,7D,8S,9D,0,0,QS,3C,KH,3D,2C,1,0,7S,QD,8D,2D,4S,0,0,7C,9H,2S,AD,5C,0,0,QC,6D,KS,4C,KD,0,0
7D,AD,10H,8D,9S,3C,0,0,9D,QD,AS,QS,QH,1,0,9C,5H,3S,4C,QC,0,0,JD,JC,KD,4H,4D,2,1,6D,10C,8S,7S,3D,0,0,10D,JS,4S,6H,5D,0,0
4H,9D,5D,AS,10D,2C,0,0,9S,8C,4D,KD,3H,0,0,9C,10C,3C,8H,4C,0,0,JS,7H,JC,6H,JH,1,1,8S,QH,3D,QC,5H,1,0,AH,6D,7C,8D,AD,1,0
