Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
9H,8C,6C,7D,10H,KH,0,0,8H,7C,5S,QC,7H,1,0,JD,4S,3S,10C,3C,1,0,2D,3D,5D,5H,KC,1,1,5C,8S,4C,6D,KD,0,0,4H,9D,AD,7S,JC,0,0
JC,3C,KH,5D,9D,3H,1,0,6C,2C,4C,AC,3D,0,0,5C,7H,9C,KS,6H,0,0,8H,AD,QH,8D,3S,1,0,4H,JH,8S,2D,2S,1,0,KD,7D,QD,6D,8C,0,1
10C,JH,6H,JC,AS,KS,1,0,QD,7C,8C,QH,QS,1,0,KC,9S,3H,9D,3D,2,1,6C,2S,7S,5H,AD,0,0,2C,8D,8S,5D,KD,1,0,10S,7H,JD,8H,2D,0,0
10D,4C,9D,9H,8D,2H,1,0,9S,3C,10H,3D,7D,1,0,2S,9C,2C,4D,KC,1,1,3H,6D,7C,JH,10S,0,0,QS,10C,7S,JC,3S,0,0,QH,JS,6C,8C,5H,0,0
5S,4H,3H,6D,10H,JS,0,0,AC,KH,9C,10C,2D,0,1,AS,5D,6C,7S,QC,0,0,2H,8D,QS,AH,3C,0,0,6S,5H,QH,KD,4S,0,0,2C,2S,5C,AD,KS,1,0
5S,3H,4H,9S,2C,JD,0,0,QH,5H,7S,8H,KC,0,0,QS,9C,JH,7C,3D,0,1,9H,AH,10H,9D,4C,1,0,8D,JS,5C,AC,3S,0,0,2H,KS,6C,4D,KD,0,0
8S,AH,3H,6C,10S,AD,1,0,2C,7D,9H,4H,10H,0,0,QD,5H,4C,JC,JH,1,1,4S,5C,3D,10D,2H,0,0,KC,AC,6S,5S,2D,0,0,7C,9C,JS,KD,8H,0,0
5H,9D,AD,AC,7D,QH,1,0,8D,6D,JS,5S,4C,0,0,10D,5D,AS,3D,5C,1,0,4H,8S,JD,7C,9S,0,1,3H,9H,2H,8C,KS,0,0,10S,KD,KC,JH,2C,0,0
6H,6S,7H,8S,5D,8C,2,0,4D,7D,3S,8D,2H,0,0,2D,4C,9C,QH,KD,0,0,AS,6D,2S,8H,3D,0,0,JS,10C,5S,9D,10D,1,1,KS,5C,2C,3C,KH,0,0
3C,AD,8H,KD,JS,7C,0,0,5H,2C,AH,10S,6S,0,0,7S,QC,10C,JD,9H,0,1,2H,JH,6C,4S,10D,0,0,7H,QD,KH,8C,QH,1,0,6D,4C,KS,AS,6H,1,0
3D,2D,2H,4C,JD,KD,1,0,JH,9H,AS,3C,6H,0,0,4S,3S,4H,5S,6C,1,1,10H,10D,AC,9C,7H,1,0,AD,JC,8S,5C,6S,0,0,9S,QD,2S,JS,10S,0,0
7H,2H,JC,JS,10S,3D,1,1,JH,AS,5C,9C,KH,0,0,7D,10H,2C,AH,5D,0,0,QH,6D,QS,6C,8S,2,0,6S,KS,4S,7S,9H,0,0,3C,3S,8D,QC,10C,1,0
AS,10S,9S,JC,AH,5C,1,0,10H,5S,6S,9H,JS,0,1,6C,10D,QC,5H,KC,0,0,3S,7D,8D,AD,7H,1,0,3D,2S,KD,2H,6H,1,0,6D,9C,8C,QD,3H,0,0
QH,5H,6C,JC,10C,10D,1,0,8D,6D,4H,8S,KS,1,0,4S,8C,7C,AD,7H,1,1,4C,AH,5D,9C,3S,0,0,10H,9H,6S,JD,8H,0,0,AC,2S,5C,2H,9D,1,0
2C,8D,4D,7D,KD,KH,0,0,AC,6H,6C,JS,AD,2,1,AS,4H,10C,JC,9S,0,0,9D,9C,QD,KS,2D,1,0,AH,JD,8S,2S,5C,0,0,2H,7S,4S,3H,10H,0,0
9C,10H,8S,8H,10C,9D,3,1,4C,AH,6D,5D,2H,0,0,8D,JD,9S,8C,5S,1,0,10D,5H,QC,6H,JC,0,0,KD,7H,7S,3H,7C,1,0,4D,10S,6C,2C,7D,0,0
7D,JH,7H,7S,9S,5C,1,0,AH,9H,KH,3C,KD,0,1,KC,4D,10C,QS,2H,0,0,2D,8S,9D,KS,6C,0,0,AC,QD,2C,6S,AD,1,0,8D,4C,10H,QC,4H,1,0
5C,6C,4S,8H,6D,6S,1,0,8C,JS,8D,AC,KH,1,0,5H,10C,7H,9D,QS,0,0,3D,KC,9H,KS,KD,0,0,7D,10S,2H,3H,QC,0,0,9C,AS,4C,AH,5S,1,1
KH,5S,3H,2D,8H,KD,0,0,6S,8D,QC,JH,9C,0,0,6D,KC,7C,7H,KS,1,1,3C,4H,JC,5D,6H,0,0,QS,5C,4C,2C,6C,0,0,3D,10S,AC,QD,2H,0,0
KH,3D,4H,10C,JH,5D,0,0,AH,7S,3H,10S,9D,0,0,KC,7C,JD,AS,4C,0,0,5S,9C,2D,2H,2C,1,1,8C,QH,10H,3C,KS,0,0,6D,6C,9H,QD,5H,1,0
AH,3D,9H,10S,2C,QS,0,0,2S,9S,10C,10D,9C,2,1,3C,4S,2D,7H,5D,0,0,QC,2H,JS,7C,AS,0,0,JD,AD,JH,KS,5S,1,0,5H,KD,6D,7D,QH,0,0
10S,KC,2D,9S,6S,5H,0,0,QS,KS,KD,KH,10D,0,0,2H,QD,QH,8C,4H,1,0,JD,8H,JS,7C,5S,1,0,3C,3H,3S,9H,4D,1,0,5D,AD,JH,5C,8S,1,1
4D,9S,QC,8D,5H,4H,1,0,7S,6D,7H,KC,8S,1,1,5C,2H,9H,8C,JD,0,0,QS,4S,10S,6S,9C,0,0,2S,3D,6H,10D,AC,0,0,AS,JC,2D,6C,7D,0,0
8H,KD,QH,4H,AH,10C,0,0,2D,KH,9C,9H,4C,1,0,2H,9S,JH,3S,8C,0,0,10S,AC,2C,KS,7C,0,1,4D,JC,6C,5C,2S,0,0,AD,7S,10H,3H,9D,0,0
QS,6H,QH,8H,9C,KC,1,0,4D,4H,JS,QD,AH,1,0,5S,KS,2D,KH,10H,0,1,9H,AC,AS,7C,JC,1,0,2C,QC,3D,8S,6D,0,0,8D,5H,2S,10C,3H,0,0
3S,9S,7C,10C,2D,10D,1,0,10S,QD,9D,AD,JD,0,1,3C,5S,AH,KS,10H,0,0,JS,QS,8D,7H,8S,1,0,5D,KH,5C,JC,AC,1,0,3H,9H,5H,4C,7D,0,0
6S,4C,AD,8H,10S,JS,0,0,9C,JH,5C,AC,QS,0,0,QD,2C,3S,3C,4S,1,0,7C,JC,9S,10C,7H,1,0,7D,KS,6C,AS,4H,0,0,10D,8S,9D,KD,5D,0,1
9D,10S,QS,4S,6D,AS,0,0,4H,KC,5H,KH,9H,0,0,6C,3S,2H,4C,6S,1,0,5D,10H,2S,JC,4D,0,0,8D,KS,3C,9C,QH,0,0,2D,JD,8C,AD,6H,0,1
10C,2S,QH,JD,5S,8D,0,0,9D,KD,4H,10H,9H,1,0,5H,6C,KC,8H,QD,0,0,3S,2D,6H,QC,4S,0,0,KS,JH,9C,KH,AC,0,1,7D,AS,3D,4D,QS,0,0
3C,AS,KD,4D,JS,KC,0,0,10S,7C,6S,10H,7S,2,0,2D,3S,6D,4C,2H,1,0,7H,QS,QH,JH,AH,1,0,5C,4H,8D,AD,6H,0,0,9H,5D,5S,QD,7D,1,1
4S,9H,10C,3S,7D,4D,1,0,QD,9C,9S,6C,7H,1,0,8H,KC,5H,5C,8D,2,1,AC,7C,6S,5S,10S,0,0,QC,10H,2H,6D,2D,1,0,AH,8C,4H,QS,KH,0,0
4H,9C,JS,5H,5D,AH,1,0,JD,2D,3S,QS,6H,0,0,7H,JC,6S,9D,8C,0,0,AC,6D,2H,6C,3D,1,1,2C,4D,8S,JH,QD,0,0,3C,10S,7C,10D,KH,1,0
QS,9S,8S,QH,QD,5S,1,0,2C,3D,4D,JC,AC,0,0,5H,2H,3C,8C,9D,0,0,10H,4C,JS,6D,10S,1,1,9H,7S,6S,KS,9C,1,0,QC,KD,10D,6C,KH,0,0
KD,7C,QD,8C,5C,10S,0,0,8S,8D,JD,9D,4C,1,0,KS,5D,AS,7D,JS,0,0,3C,2S,9C,6H,3D,1,0,KH,KC,8H,10D,JC,0,0,QC,5S,AH,4S,AD,1,1
2S,7D,8S,3H,5D,3C,1,0,KH,10C,AC,9C,2D,0,0,10S,AH,QS,10H,9S,1,0,6H,4H,KD,QD,3S,0,1,AD,6D,KS,8C,6S,1,0,KC,2C,9D,4S,JH,0,0
8C,AH,9H,7D,KC,6D,0,0,9S,5C,7S,QD,6C,0,0,2D,10H,5D,3C,7H,0,1,5H,9C,10D,3D,10S,1,0,AS,2S,QS,QC,2H,2,0,AD,JH,AC,8D,4S,1,0
KC,5C,AS,4H,9C,KD,0,0,KH,8C,QH,JC,9H,0,1,3H,AD,10S,5D,7C,0,0,JD,JH,3D,9S,JS,1,0,6D,3S,KS,7H,4D,0,0,4C,2C,8D,6S,4S,1,0
JS,8C,AS,JD,8D,QS,2,1,2S,3H,9H,AH,7S,0,0,QD,10H,3S,7C,2H,0,0,2C,6D,7H,10C,6C,1,0,10D,9S,5D,AD,JC,0,0,3D,4D,8S,4S,9D,1,0
5S,AC,JH,10D,2C,5C,1,0,AD,4S,7D,10C,8S,0,0,8D,9H,AH,QC,QD,1,0,AS,6D,2D,2S,8C,1,0,KH,9C,6C,3D,QS,0,1,4H,6H,9D,10H,9S,1,0
5H,2D,QD,3D,8H,6S,0,0,4D,4H,9H,AC,7C,1,0,JH,10H,JD,3S,6D,1,1,KS,9S,7H,KC,8D,0,0,7D,QC,JS,JC,QH,2,0,3C,AH,10C,8S,9D,0,0
8H,3H,10C,6D,4S,JH,0,0,JD,KC,2C,6H,QH,0,0,QC,9C,6S,9S,QS,2,0,KH,4H,AS,4D,JS,1,0,5C,7C,2H,2D,5S,2,1,9D,AC,JC,8S,AH,1,0
7H,7S,4H,QH,3C,2S,1,0,4C,10C,4D,2C,9C,1,0,8C,10D,6S,5S,7D,0,1,JD,KC,2H,6C,4S,0,0,10S,3S,9D,8D,6H,0,0,10H,5C,8H,3D,2D,0,0
