Player 0,,,,,,pair,Player 0 win,Player 1,,,,,pair,Player 1 win,Player 2,,,,,pair,Player 2 win,Player 3,,,,,pair,Player 3 win,Player 4,,,,,pair,Player 4 win,Player 5,,,,,pair,Player 5 win
9S,6C,JC,9C,10D,8C,1,0,4S,5C,AD,2D,KH,0,0,2H,7H,7C,3D,4H,1,0,3H,5D,2S,6H,3C,1,0,4C,4D,5H,2C,JS,1,1,JH,7S,KS,5S,8S,0,0
7D,6D,QS,3S,AH,6S,1,0,7S,10D,KD,4H,QC,0,0,2S,10C,9C,7H,8S,0,0,JH,JS,2C,5C,5D,2,1,AD,AS,5H,3H,10H,1,0,7C,4D,QH,AC,8D,0,0
5H,3S,4H,7S,KC,KH,0,0,6C,2C,JD,AS,9S,0,0,3D,10C,QC,3H,JC,1,0,AC,7D,4C,7C,2H,1,1,5D,AH,QS,10D,QD,1,0,6S,10S,4S,4D,JH,1,0
7H,5S,8C,JC,8H,9C,1,0,JD,AD,3C,KS,QH,0,0,9H,4C,10H,7D,4D,1,0,AS,JH,5D,6C,10S,0,1,AC,3S,KC,9S,6D,0,0,4S,7S,3D,5C,2D,0,0
7S,3D,8S,10S,9S,8H,1,0,7C,JC,2S,4D,10C,0,0,10H,5D,5H,9D,6C,1,1,3S,7D,2H,7H,4H,1,0,AS,QD,3C,AH,5C,1,0,3H,4S,KD,KH,JH,0,0
3H,5D,3C,9H,6C,8S,1,0,10D,QD,JC,6D,6H,1,0,QH,QS,4H,7D,7C,2,0,QC,4S,KC,KS,AC,0,0,2S,7H,2D,4D,7S,2,1,AD,2C,9D,5C,5H,1,0
4D,4S,QC,KC,5H,AS,1,1,5S,AH,10D,8C,3D,0,0,4C,3S,2D,9D,9H,1,0,JD,10H,KS,7D,8S,0,0,10C,7C,2H,KH,5D,0,0,KD,8D,10S,6H,6S,1,0
6S,AH,9S,9C,8S,10D,1,1,10S,9H,QC,7C,5D,0,0,JD,JS,4H,3S,6D,1,0,JC,7H,2C,10C,AS,0,0,AC,10H,5C,5S,2S,1,0,KS,2D,KH,4C,QH,0,0
AS,2D,3H,9D,2C,4C,1,0,KH,7S,QS,6H,QD,1,0,QC,6S,7C,KS,JH,0,0,KD,6D,2S,4D,5H,0,0,3D,3S,8H,9C,3C,1,1,JD,10C,6C,2H,JC,1,0
QH,7S,4D,8H,6H,7H,1,0,8D,JD,5C,7D,AC,0,0,10S,10C,4C,9D,9H,2,0,6C,JC,10H,AD,3H,0,0,2S,KH,AH,KC,8C,0,1,9S,3C,5S,KD,JS,0,0
9C,2S,8S,3C,4S,2D,1,0,6H,6C,5C,KC,AD,1,0,JH,9H,2C,4D,AS,0,0,3D,AH,10C,4C,4H,1,1,KS,JD,QH,10S,8C,0,0,10H,QS,JC,7S,7D,1,0
8C,8H,8S,9H,7S,2S,1,0,JS,QH,4D,5D,2C,0,0,JD,6C,9C,AS,10D,0,0,5C,4C,6D,AC,6H,1,0,9D,3C,QD,6S,KD,0,1,8D,KS,JC,5H,5S,1,0
5S,7S,9C,KD,4H,QS,0,0,AH,KH,4S,3C,6C,0,0,7C,5C,6D,6H,8C,1,1,8S,3H,9S,JH,4D,0,0,5D,3D,8D,AD,5H,1,0,JS,2S,JD,KS,JC,1,0
7C,10C,9S,5C,KH,JH,0,1,KC,KD,8D,4S,QC,0,0,7H,3C,KS,4D,5D,0,0,10D,QS,6H,6C,9C,1,0,3S,4C,QH,8S,6D,0,0,QD,3D,2S,10S,AC,0,0
7S,QS,2D,5C,KC,9C,0,0,9S,7H,KD,5D,4C,0,0,AD,4H,10D,KS,3H,0,0,4S,8H,3S,8D,10C,1,0,QC,2S,3C,JC,QD,1,1,3D,KH,JD,JS,2H,1,0
4H,8C,2H,AS,5D,2C,1,1,QH,8S,QC,3C,AD,1,0,QS,KH,KD,KC,5C,0,0,9C,7H,10S,2S,AC,0,0,3S,JS,10H,9S,2D,0,0,5H,7C,KS,JD,8D,0,0
